old                                      new
0a92a5c7420ea9b480866647ad412280fd77f71e c7adf9d433ee3e5c8bb5e5688ca0051b64faec4e
0db76aeb143b9dabe7c2ea82d5004df4c952e6f7 66c17d10ff452cd43ff7eb3e4b9f51a3e9e2a754
10647bd04f329bc7a0f759bb290d0871097c208e 9829b9d0b96098b26445bfd11eb1ef263dde3dd1
1d00039b01fcecfe03b20d8e13429df5d707930a 385c24e88f15b61074bd2fbb861a4de52af6d10d
2058ab702e3e95f6ab3676d04d36284c8b7ce205 7582d0da3e0aed1ee67592e75e9afc4001ba19e8
216ab2868cd9e62cb065cd66a536d745c49db562 282a1fcd8ac6b630a46e086bee92920b3b4813f5
2b5f9feb6cac625f4e4fc9f5832f189157c62ba1 a2bde8ccbc4afb029a68a7cf6e51bcee4615c8a1
3c544cd03572ee1a7a4427ba4e5468a6eee6115c a905122429bfb79f05c04999e075796b33be2927
3d495166bb82f73028333ab5cd0ea465acd91b15 5127d686f47f9d3da97a0b8dbd10d23c833a6e38
493f8dc07f82ab5abef09e5d7d02076ac07677d0 bc82ff1f0a6918552b9a711337ba6bfe3f1f59c2
543d8f33823b544d9370f97e37b6467828b1ccec 4773950d7d8bf8d15e56b61aa3397a3eaaf07fb7
63ea4edf72c86965e5434f6a8777227192ac21fb 8f16e5b6e37c91c5c4edfc47c5f9bdf9f4da2491
6e1b1bf339392a81d71c00b37e919c42758e3f02 f7f50e9a4a847141828c7f707518ff0322bead4f
75e8f3d2d93c7c40878db80c31703ea27d4512aa d86a0bcafe049a867c756f3e57d2a062b7f19c31
9447f0d1eb7b1b13604299921d3fb31f5d2403ce f18f95b3e14bccdb81f563ead5c1af4d3a6f14df
98d026c2dfdc9ac18445b26c3d8bdc9b826a89b5 6472d8c8dd3a81d3a939a51614fe45a8362183cd
aca6324d50fdb0622061e075853d239bc21b585a e119403b4f7288d060bba4cfa418be98b500e3d0
aca79f19e8a03baa285d0043ea357f059eab2d74 3d14cb960666403b9a573b922b48062e72be184e
accb2c279cd100b564ec5b1983fc948f0d030863 68ab2ac7f44b0a8b7ee18cca74ddf946d9764f61
b5c3f236949f93b6e5712772ce151364b74f8d07 b5c3f236949f93b6e5712772ce151364b74f8d07
b824b250aed380586a0d21907810365515ed7b73 99386b444ebc8bb8356af77e86503bab28c26a71
be2a6b3ac320cece48cfb8ad2905cb800756d087 8587d96db127fa7832db9d3c778f407ebeae15cd
dc61e233dfeecfee104c2c35775764d2f886ecd8 b39baee9deed1f151e24c22e0eb0d864f5448df7
e2c04e9f6efc646967278d4f7b7e2ec992658d4b 4c206a43652b24fde86bd13a9f198dd581b3cc56
e459da5fb4db01cd6a7f0305cfa79449c34ee26c 7df7c07a030fa74305f385188ebec2c8200f6e8b
e707e50cbfd1cbdd8e189e38614b4667546c1e2e 97d60a1547530e5f0ba9a7fd9c02a27719d02a10
eaddf872b0131c435214cc0d489574e6d7434869 6012ab5d840604d4fb77f4642975b7c4b1c37fe0
eb11c396afa792e41a775d5c5f0cbcb50fb8062d 470a201f39ca4da9a9b5411ddc994abacecdb038
f4498c3c11c07b6f1030fc120d2b7e71c13f1020 8a8b325a395a24512b54f023e4a32d26eb4a09da
f71addfd6e8db3617c2a091af04c1fe96eb73600 5992cd40d93a43e962f3c97e08132536dfd2f413
